iter residual
   6 1.000000e+00
   7 5.836703e+23
   8 3.084090e+32
   9 7.186724e+35
  10 8.757384e+34
  11 9.595943e+33
  12 1.051482e+33
  13 1.140632e+32
  14 1.217027e+31
  15 1.269678e+30
  16 1.286066e+29
  17 1.255499e+28
  18 1.190226e+27
  19 1.208703e+26
  20 1.640134e+25
  21 2.812228e+24
  22 5.281797e+23
  23 1.002693e+23
  24 1.901983e+22
  25 3.605546e+21
  26 6.832247e+20
  27 1.294355e+20
  28 2.451729e+19
  29 4.643332e+18
  30 8.792746e+17
  31 1.664772e+17
  32 3.151524e+16
  33 5.965207e+15
  34 1.128949e+15
  35 2.136350e+14
  36 4.042267e+13
  37 7.647811e+12
  38 1.446817e+12
  39 2.736898e+11
  40 5.176974e+10
  41 9.791953e+09
  42 1.852003e+09
  43 3.502642e+08
  44 6.624207e+07
  45 1.252732e+07
  46 2.369030e+06
  47 4.479934e+05
  48 8.471505e+04
  49 1.601867e+04
  50 3.028406e+03
  51 5.720831e+02
  52 1.076822e+02
  53 1.996592e+01
  54 3.617349e+00
  55 9.977922e-01
  56 5.219221e-01
  57 2.360808e-01
  58 2.584414e-03
  59 9.774301e-07
  60 6.842981e-10
  61 4.781492e-13
