iter residual
   0 1.000000e+00
   1 1.197595e-01
   2 2.547891e-02
   3 9.834995e-03
   4 4.835733e-03
   5 2.703267e-03
   6 1.579991e-03
   7 9.352915e-04
   8 5.571254e-04
   9 3.338303e-04
  10 2.011956e-04
  11 1.218715e-04
  12 7.411570e-05
  13 4.520597e-05
  14 2.763110e-05
  15 1.691420e-05
  16 1.036493e-05
  17 6.356392e-06
  18 3.900239e-06
  19 2.394100e-06
  20 1.470001e-06
  21 9.027848e-07
  22 5.545225e-07
  23 3.406483e-07
  24 2.092830e-07
  25 1.285862e-07
  26 7.901005e-08
  27 4.855051e-08
  28 2.983501e-08
  29 1.833487e-08
  30 1.126802e-08
