iter residual
  22 1.000000e+00
  23 3.277015e-01
  24 2.376009e-02
  25 8.895894e-03
  26 3.831908e-03
  27 1.869311e-03
  28 9.108938e-04
  29 4.656849e-04
  30 2.369539e-04
  31 1.223447e-04
  32 6.308525e-05
  33 3.268408e-05
  34 1.693608e-05
  35 8.792813e-06
  36 4.567715e-06
  37 2.375407e-06
  38 1.236178e-06
  39 6.438380e-07
  40 3.355723e-07
  41 1.750293e-07
  42 9.135856e-08
  43 4.771873e-08
  44 2.494242e-08
  45 1.304613e-08
  46 6.828551e-09
  47 3.576518e-09
  48 1.874529e-09
  49 9.831069e-10
