iter residual
  22 1.000000e+00
  23 3.001082e-01
  24 2.597401e-02
  25 8.026742e-03
  26 3.501298e-03
  27 1.651032e-03
  28 8.073785e-04
  29 4.031447e-04
  30 2.025135e-04
  31 1.025273e-04
  32 5.201375e-05
  33 2.647224e-05
  34 1.349086e-05
  35 6.886887e-06
  36 3.519453e-06
  37 1.800667e-06
  38 9.221692e-07
  39 4.727262e-07
  40 2.425493e-07
  41 1.245594e-07
  42 6.402158e-08
  43 3.293383e-08
  44 1.695576e-08
  45 8.736613e-09
  46 4.505193e-09
  47 2.324989e-09
  48 1.200780e-09
  49 6.206062e-10
